Date & Time,Solve Time
F 17 2015 12:27:31 PM,00:32.50
F 17 2015 12:26:20 PM,00:32.46
F 17 2015 11:22:58 AM,00:42.07
F 17 2015 11:21:50 AM,00:35.34
F 17 2015 11:20:19 AM,00:36.12
F 16 2015 05:53:57 PM,00:38.13
F 16 2015 05:52:36 PM,00:37.53
F 16 2015 05:51:17 PM,00:42.12
F 16 2015 05:49:48 PM,00:45.42
F 16 2015 05:48:08 PM,00:37.96
F 16 2015 05:47:05 PM,00:40.07
F 16 2015 05:45:35 PM,00:45.17
F 16 2015 05:44:29 PM,00:32.59
F 16 2015 05:43:17 PM,00:32.55
F 16 2015 05:41:45 PM,00:30.84
F 16 2015 05:40:34 PM,00:31.94
F 16 2015 05:39:15 PM,00:40.02
F 16 2015 05:37:50 PM,00:40.89
F 16 2015 05:36:51 PM,00:35.13
F 16 2015 05:35:37 PM,00:43.37
F 16 2015 05:34:12 PM,00:25.28
F 16 2015 05:32:25 PM,00:30.14
F 16 2015 01:49:46 PM,00:32.62
F 16 2015 01:21:30 PM,00:37.70
F 16 2015 01:20:27 PM,00:31.57
F 16 2015 01:18:56 PM,00:48.52
F 14 2015 11:09:56 PM,00:49.04
F 14 2015 11:08:16 PM,00:36.74
F 13 2015 02:12:08 PM,00:37.52
F 13 2015 12:38:39 PM,00:34.05
F 13 2015 12:37:20 PM,00:55.24
F 13 2015 12:31:01 PM,00:37.33
F 12 2015 09:41:24 PM,00:32.49
F 12 2015 09:40:13 PM,00:40.67
F 12 2015 09:32:49 PM,00:37.02
F 12 2015 09:31:29 PM,00:43.52
F 12 2015 09:30:18 PM,00:39.55
F 12 2015 09:12:15 PM,00:38.89
F 12 2015 09:11:09 PM,00:31.45
F 12 2015 09:09:54 PM,00:42.28
F 12 2015 09:08:21 PM,00:41.44
F 12 2015 09:06:34 PM,00:23.46
F 12 2015 09:05:19 PM,00:32.40
F 12 2015 12:23:03 PM,00:31.30
F 12 2015 12:21:54 PM,00:30.89
F 12 2015 12:19:50 PM,00:33.97
F 12 2015 12:17:09 PM,00:33.58
F 06 2015 12:26:39 PM,00:33.20
F 06 2015 12:25:48 PM,00:31.68
F 06 2015 12:24:42 PM,00:36.17
F 03 2015 12:21:18 PM,00:31.02
F 02 2015 10:51:17 AM,00:34.13
F 02 2015 10:49:07 AM,00:34.55
J 30 2015 12:35:02 PM,00:37.41
J 30 2015 12:33:04 PM,00:36.78
J 30 2015 12:31:08 PM,00:35.26
J 30 2015 12:29:06 PM,00:41.36
J 30 2015 12:26:42 PM,00:34.11
J 29 2015 09:02:13 AM,00:46.73
J 29 2015 08:58:25 AM,00:39.75
J 29 2015 08:57:27 AM,00:35.22
J 29 2015 08:20:33 AM,00:33.49
